content	created_date	created_datetime	is_rumour	misinformation	which_rumour
BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be	2015-01-07	2015-01-07 11:43:07+00:00	rumour	0	charliehebdo
11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP	2015-01-07	2015-01-07 11:47:38+00:00	rumour	0	charliehebdo
Witnesses say the Charlie Hebdo gunmen identified themselves as members of al-Qaida: http://t.co/WSEe7PGIdY http://t.co/fTzk4xzZIr	2015-01-07	2015-01-07 15:25:57+00:00	rumour	0	charliehebdo
Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/C9ltgMT0Wl	2015-01-09	2015-01-09 16:33:45+00:00	rumour	0	charliehebdo
"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. #CharlieHebdo"	2015-01-08	2015-01-08 13:40:32+00:00	rumour	0	charliehebdo
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ	2015-01-07	2015-01-07 11:14:38+00:00	rumour	0	charliehebdo
DEVELOPING: Police pursuing #CharlieHebdo shooting suspects, helicopters deployed - LIVE FEED: http://t.co/GRxHibEau2 http://t.co/pDlmmCax1B	2015-01-09	2015-01-09 09:02:26+00:00	rumour	0	charliehebdo
BREAKING: Shots fired, hostages taken in manhunt for #CharlieHebdo attackers, police say http://t.co/omBy6Wsgb7 http://t.co/ZbszAHyIzJ	2015-01-09	2015-01-09 08:51:44+00:00	rumour	0	charliehebdo
UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g	2015-01-07	2015-01-07 13:10:20+00:00	rumour	1	charliehebdo
#BREAKING : Both Charlie Hebdo suspects killed as police storm building (police sources) http://t.co/OYSXRQ9xuv http://t.co/8ICThapo7z	2015-01-09	2015-01-09 16:19:36+00:00	rumour	0	charliehebdo
"#CharlieHebdo suspects ""prepared to die as martyrs"", they tell police after making contact - French media http://t.co/Qgmn70TXSU"	2015-01-09	2015-01-09 10:39:41+00:00	rumour	0	charliehebdo
Reports of shooting at  Dammartin en Goele on route N2 north east of Paris - French media says car chase under way	2015-01-09	2015-01-09 08:24:24+00:00	rumour	0	charliehebdo
Paris says highest alert level extended north to region where attack suspects spotted - @AFP, @MelissaBellF24 https://t.co/pj8kecnVt7	2015-01-08	2015-01-08 15:33:43+00:00	rumour	0	charliehebdo
French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market http://t.co/j5nQIl4Ytu	2015-01-09	2015-01-09 13:31:54+00:00	rumour	0	charliehebdo
Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man http://t.co/IX8Wys3p5M	2015-01-07	2015-01-07 14:23:09+00:00	rumour	0	charliehebdo
Breaking: Two hostage situations in France are linked, Paris prosecutor says	2015-01-09	2015-01-09 14:56:40+00:00	rumour	0	charliehebdo
Suspects in #CharlieHebdo attack spoke to police by phone and said they wanted to die as martyrs, says French MP. http://t.co/bGkMtT3lUF	2015-01-09	2015-01-09 10:55:08+00:00	rumour	0	charliehebdo
#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1	2015-01-08	2015-01-08 00:00:47+00:00	rumour	1	charliehebdo
Police taking people out of #Paris grocery where hostages were being held. http://t.co/7Bxdhozq4H	2015-01-09	2015-01-09 16:21:12+00:00	rumour	0	charliehebdo
Hostage-taker at Paris store demands release of #KouachiBrothers, police union spokesman says. http://t.co/cTAJWVBmAO http://t.co/rYEGVIPAlU	2015-01-09	2015-01-09 15:49:06+00:00	rumour	0	charliehebdo
BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source	2015-01-09	2015-01-09 13:54:11+00:00	rumour	0	charliehebdo
The last person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/qQXNLUDYPG http://t.co/PJH6tlyrpC	2015-01-08	2015-01-08 14:33:43+00:00	rumour	1	charliehebdo
UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2	2015-01-09	2015-01-09 13:51:44+00:00	rumour	0	charliehebdo
France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58	2015-01-07	2015-01-07 11:07:51+00:00	rumour	0	charliehebdo
#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo	2015-01-09	2015-01-09 09:08:01+00:00	rumour	1	charliehebdo
BREAKING: French police tell AP suspects in #CharlieHebdo attack have taken a hostage northeast of Paris.	2015-01-09	2015-01-09 09:40:25+00:00	rumour	1	charliehebdo
MORE: Official: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/sJXudtGUOV	2015-01-09	2015-01-09 11:47:42+00:00	rumour	0	charliehebdo
#CharlieHebdo killers shot dead by police	2015-01-09	2015-01-09 16:19:27+00:00	rumour	0	charliehebdo
BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY	2015-01-07	2015-01-07 11:37:46+00:00	rumour	0	charliehebdo
Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/9AwTF3sRYK	2015-01-09	2015-01-09 16:28:09+00:00	rumour	0	charliehebdo
#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault	2015-01-09	2015-01-09 16:20:03+00:00	rumour	0	charliehebdo
Car chase under way in Paris as gunfight breaks out. Reports of hostages. Latest from Paris: http://t.co/2J4WQdJnTp http://t.co/Lpd4hbiXai	2015-01-09	2015-01-09 08:37:03+00:00	rumour	0	charliehebdo
Reports: #CharlieHebdo suspects killed http://t.co/rsl4203bcQ	2015-01-09	2015-01-09 16:24:41+00:00	rumour	0	charliehebdo
The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/joSfDCybpI http://t.co/7xQIrb4vbU	2015-01-08	2015-01-08 12:23:04+00:00	rumour	0	charliehebdo
RT @JeffersonObama: R.I.P. Ahmed Merabet, a French #Muslim Cop, first victim of #CharlieHebdo attack http://t.co/TMQsJCCKB5	2015-01-08	2015-01-08 01:12:55+00:00	rumour	1	charliehebdo
Update - AFP says gunman who has taken a hostage at kosher supermarket in Paris believed to be suspect in killing of policewoman on Thursday	2015-01-09	2015-01-09 12:39:07+00:00	rumour	0	charliehebdo
Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates http://t.co/7iVIN3nqCv http://t.co/YrdUIOjrZF	2015-01-09	2015-01-09 08:02:16+00:00	rumour	0	charliehebdo
AFP: suspected #CharlieHebdo gunmen have been killed	2015-01-09	2015-01-09 16:22:40+00:00	rumour	0	charliehebdo
"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD"	2015-01-07	2015-01-07 11:44:35+00:00	rumour	0	charliehebdo
At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs	2015-01-07	2015-01-07 12:34:33+00:00	rumour	0	charliehebdo
MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http://t.co/5300zReVuq	2015-01-09	2015-01-09 13:05:32+00:00	rumour	0	charliehebdo
MORE: Official: gunman holding at least five hostages in Paris market has threatened to kill them if police approach: http://t.co/KId3U6zhCK	2015-01-09	2015-01-09 15:33:15+00:00	rumour	0	charliehebdo
"An 11-month old baby is among the hostages at the Kosher supermarket in Paris. Unbearably sad.
http://t.co/yXXlHehst9"	2015-01-09	2015-01-09 13:26:38+00:00	rumour	0	charliehebdo
Police have surrounded this building where the suspected #CharlieHebdo attackers are holed-up http://t.co/B0TRvE2iYs http://t.co/becxNG0Kxi	2015-01-09	2015-01-09 11:06:29+00:00	rumour	0	charliehebdo
Paris Manhunt: 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large http://t.co/3Jsosc7yl3	2015-01-07	2015-01-07 14:31:40+00:00	rumour	0	charliehebdo
Hostage-taker in supermarket siege killed, reports say. #ParisAttacks http://t.co/0jxoozr8mN http://t.co/sY4M9Vox3L	2015-01-09	2015-01-09 16:35:15+00:00	rumour	0	charliehebdo
"4 #CharlieHebdo cartoonists killed:

- Charb
- Cabu
- Tignous
- Georges Wolinski

#JeSuisCharlie http://t.co/QbaEYog2S2"	2015-01-07	2015-01-07 13:36:28+00:00	rumour	0	charliehebdo
URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister http://t.co/3Jsosc7yl3 #Paris http://t.co/9fqT2P6yhV	2015-01-07	2015-01-07 14:23:59+00:00	rumour	1	charliehebdo
#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7	2015-01-07	2015-01-07 11:44:09+00:00	rumour	0	charliehebdo
This widely shared cartoon about the #CharlieHebdo attack is actually by @LucilleClerc and not #Banksy http://t.co/HxKI8pefcU	2015-01-08	2015-01-08 11:33:02+00:00	rumour	1	charliehebdo
Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc	2015-01-07	2015-01-07 11:39:17+00:00	rumour	0	charliehebdo
BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh	2015-01-09	2015-01-09 13:30:08+00:00	rumour	0	charliehebdo
“@LePoint: #CharlieHebdo : “The cartoonists Charb &amp; cabu are dead.” http://t.co/7USD83cQd2 http://t.co/WGHbLiLFoX”	2015-01-07	2015-01-07 12:37:49+00:00	rumour	1	charliehebdo
Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous	2015-01-07	2015-01-07 13:16:24+00:00	rumour	0	charliehebdo
Clarissa, 27 years old, police trainee of Montrouge Police in #France. Victim of this morning's attack. via @_batou_ http://t.co/kk0w0D6NNv	2015-01-08	2015-01-08 16:08:02+00:00	rumour	0	charliehebdo
UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U	2015-01-07	2015-01-07 12:39:36+00:00	rumour	0	charliehebdo
#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps	2015-01-09	2015-01-09 12:56:40+00:00	rumour	0	charliehebdo
#BREAKING Gunman in policewoman killing suspected in new Paris hostage-taking: source	2015-01-09	2015-01-09 12:52:44+00:00	rumour	0	charliehebdo
Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. http://t.co/YPIlwckuuw	2015-01-09	2015-01-09 15:36:20+00:00	rumour	0	charliehebdo
Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH	2014-10-12	2014-10-12 17:08:39+00:00	rumour	1	ebola-essien
AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw	2014-10-12	2014-10-12 18:03:21+00:00	rumour	1	ebola-essien
BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV	2015-03-24	2015-03-24 10:44:10+00:00	rumour	1	germanwings-crash
"@FRANCE24 reporter James André at French Civil Aviation Authority HQ: ""#Germanwings plane did NOT report distress signal"", no mayday."	2015-03-24	2015-03-24 13:27:00+00:00	rumour	1	germanwings-crash
Names of pilots rumored to be Patrick Sonderheimer with co-pilot Andreas Lubitz - No formal confirmation yet. #germanwings	2015-03-26	2015-03-26 10:56:55+00:00	rumour	0	germanwings-crash
Germanwings passenger plane crashes in France: http://t.co/BSJhGgMChG	2015-03-24	2015-03-24 10:59:34+00:00	rumour	0	germanwings-crash
Report: Co-Pilot Locked Out Of Cockpit Before Fatal Plane Crash http://t.co/aXGQuacv2E #Germanwings http://t.co/T80L7BhXX6	2015-03-26	2015-03-26 00:01:57+00:00	rumour	0	germanwings-crash
French junior minister for Transport Alain Vidalies confirms they are no survivors in the #Germanwings #A320 crash. http://t.co/ZLIz1oY8wF	2015-03-24	2015-03-24 11:42:40+00:00	rumour	0	germanwings-crash
Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G	2015-03-24	2015-03-24 11:12:07+00:00	rumour	1	germanwings-crash
BREAKING: 148 feared dead in crashed #Germanwings flight http://t.co/bnEGQsxBFL	2015-03-24	2015-03-24 12:08:46+00:00	rumour	1	germanwings-crash
"#Germanwings latest: http://t.co/8tZopIBYLh
- #Airbus A320 crashes in French Alps
- Barcelona-to-Dusseldorf flight
- 142 passengers &amp; 6 crew"	2015-03-24	2015-03-24 11:42:05+00:00	rumour	1	germanwings-crash
#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr	2015-03-24	2015-03-24 12:06:11+00:00	rumour	1	germanwings-crash
#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.	2015-03-26	2015-03-26 12:01:19+00:00	rumour	0	germanwings-crash
German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings http://t.co/SqUrmcvNKt	2015-03-24	2015-03-24 10:57:09+00:00	rumour	1	germanwings-crash
JUST IN: Germanwings plane crashes in southern France, up to 150 feared dead http://t.co/GIZjXnqBU3	2015-03-24	2015-03-24 11:03:24+00:00	rumour	0	germanwings-crash
RT @khjelmgaard: German media reporting #AndreasLubitz had a 'serious depressive episode' six years ago http://t.co/MUdmHPz2ro #Germanwings	2015-03-27	2015-03-27 09:23:41+00:00	rumour	0	germanwings-crash
#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.	2015-03-24	2015-03-24 14:13:25+00:00	rumour	0	germanwings-crash
GERMAN NEWS REPORT: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://t.co/Pw2kxje31m via @gatewaypundit	2015-03-27	2015-03-27 15:09:22+00:00	rumour	1	germanwings-crash
Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI	2015-03-24	2015-03-24 10:43:44+00:00	rumour	0	germanwings-crash
GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT. Can any muslim be trusted near an airplane now?	2015-03-27	2015-03-27 03:14:54+00:00	rumour	1	germanwings-crash
Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn	2015-03-24	2015-03-24 11:07:38+00:00	rumour	0	germanwings-crash
Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525 http://t.co/TIZc1N1ZrK	2015-03-24	2015-03-24 10:50:07+00:00	rumour	0	germanwings-crash
Now hearing 148 passengers + crew on board the #A320 that has crashed in southern French Alps. #GermanWings flight. @BBCWorld	2015-03-24	2015-03-24 10:52:00+00:00	rumour	1	germanwings-crash
1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525	2015-03-24	2015-03-24 11:33:20+00:00	rumour	1	germanwings-crash
#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?	2015-03-24	2015-03-24 11:35:31+00:00	rumour	0	germanwings-crash
"Latest on #Germanwings crash: Pilots signaled 911 before dropping out of midair; airline CEO calls this a ""dark day."" http://t.co/S5CZoWnn2T"	2015-03-24	2015-03-24 12:05:04+00:00	rumour	1	germanwings-crash
"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup"	2015-03-24	2015-03-24 12:38:59+00:00	rumour	0	germanwings-crash
MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters. http://t.co/IHV4galEtC	2014-10-22	2014-10-22 18:32:00+00:00	rumour	1	ottawashooting
"#BREAKING Rick Hughes at CBC Hamilton: 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton"	2014-10-22	2014-10-22 16:35:02+00:00	rumour	0	ottawashooting
Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw	2014-10-22	2014-10-22 14:11:22+00:00	rumour	0	ottawashooting
BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn #cdnpoli http://t.co/38qOgXcuet	2014-10-22	2014-10-22 14:02:11+00:00	rumour	0	ottawashooting
Very reliable source on Parliament Hill tells me the assailant has been killed. #cdnpoli #ottnews	2014-10-22	2014-10-22 14:32:35+00:00	rumour	0	ottawashooting
"Ottawa Police Service: There were ""numerous gunmen"" at the Canada War Memorial shooting. One person was shot. http://t.co/zNhxK6wBoy"	2014-10-22	2014-10-22 15:38:19+00:00	rumour	1	ottawashooting
The University of Ottawa, just a five minute walk from the Hill, is now on lockdown.	2014-10-22	2014-10-22 15:16:52+00:00	rumour	0	ottawashooting
BREAKING UPDATE: Canadian soldier injured at Parliament Hill shooting dies http://t.co/Zp9AKplH9p  #Ottawa	2014-10-22	2014-10-22 16:53:58+00:00	rumour	0	ottawashooting
We are in full lock down until further notice from Ottawa Police.	2014-10-22	2014-10-22 14:57:17+00:00	rumour	0	ottawashooting
Soldier killed in Canada shooting was a young reservist with a six-year-old son http://t.co/83PReIl9XV http://t.co/LVprXOCCF7	2014-10-22	2014-10-22 22:50:17+00:00	rumour	0	ottawashooting
BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. #cdnpoli #ableg	2014-10-22	2014-10-22 15:37:33+00:00	rumour	0	ottawashooting
Shooter still on loose after uniformed soldier shot at #Ottawa's War Memorial, across road from Parliament. MP's being taken out of offices.	2014-10-22	2014-10-22 14:10:21+00:00	rumour	0	ottawashooting
Reports now that 2nd shooter has been shot in downtown Ottawa #ottnews	2014-10-22	2014-10-22 15:36:31+00:00	rumour	1	ottawashooting
Statement from Ottawa Hospital: received 3 patients. 2 in stable condition. http://t.co/zu5hYPrGDL	2014-10-22	2014-10-22 17:15:58+00:00	rumour	0	ottawashooting
Canada's parliament building locked down after shooting; at least one guard injured: http://t.co/Nrsnlg2s04 Photo: AP http://t.co/qPXF4IF6aM	2014-10-22	2014-10-22 17:09:39+00:00	rumour	0	ottawashooting
***EXCLUSIVE*** Michael Zahaf-Bibeau caught on a #DASHCAM model sold at http://t.co/62s1bT3ecH #OttawaShooting http://t.co/LpnqAKsHZw	2014-10-22	2014-10-22 23:39:19+00:00	rumour	0	ottawashooting
"BREAKING: Michael Zehaf-Bebeau had been designated ""high-risk traveller"" by CDN govt, which confiscated his passport http://t.co/dPeMQ78jzm"	2014-10-22	2014-10-22 21:16:06+00:00	rumour	0	ottawashooting
Senior U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. Live blog: http://t.co/q98AMohu7T	2014-10-22	2014-10-22 16:25:46+00:00	rumour	0	ottawashooting
Only photo I will tweet. CPR being performed on the soldier now. I heard four shots. #ottawa http://t.co/cqdw1yx8AI	2014-10-22	2014-10-22 13:58:25+00:00	rumour	0	ottawashooting
Attack on Parliament: Soldier shot; gunman on the loose. Follow our developing story: http://t.co/bo99C9HqJE http://t.co/2FXEYtTl8w	2014-10-22	2014-10-22 15:09:40+00:00	rumour	0	ottawashooting
BREAKING: At least 20 shots have been fired in the Canadian parliament in Ottawa, according to witnesses.	2014-10-22	2014-10-22 14:35:29+00:00	rumour	0	ottawashooting
Ottawa police issued a statement. Three separate shooting incidents. Once inside parliament. One at the war memorial. One at Rideau Centre	2014-10-22	2014-10-22 15:42:17+00:00	rumour	1	ottawashooting
BREAKING: A source confirms to CP24 that the deceased soldier in Ottawa is Cpl. Nathan Cirillo. Cirillo was a member of the Hamilton Argylls	2014-10-22	2014-10-22 20:46:39+00:00	rumour	0	ottawashooting
CONFIRMED | 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect. #cbcOTT #OTTnews	2014-10-22	2014-10-22 15:20:55+00:00	rumour	0	ottawashooting
#RCMP to hold news conference on #Ottawa shootings at 2 pm ET, 11 am PT. Watch live coverage @ http://t.co/kngapKTSCe	2014-10-22	2014-10-22 17:48:57+00:00	rumour	0	ottawashooting
Shooting in Canadian parliament comes day after ISIS-inspired radical drove in2 Canadian soldier. Also reports of shooting at War memorial/1	2014-10-22	2014-10-22 14:49:07+00:00	rumour	0	ottawashooting
This afternoon we've lowered our flags to half mast in honour of the Canadian Reservist who lost his life in Ottawa. http://t.co/3oTF5sd2Lf	2014-10-22	2014-10-22 18:48:40+00:00	rumour	0	ottawashooting
Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K	2014-10-22	2014-10-22 15:58:15+00:00	rumour	0	ottawashooting
#ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead #OttawaShooting suspect. #Canada http://t.co/kWam0E4tyX	2014-10-22	2014-10-22 20:23:58+00:00	rumour	0	ottawashooting
Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured - @CBCNews, @TorontoStar http://t.co/aF9HyT9BgX	2014-10-22	2014-10-22 14:25:19+00:00	rumour	0	ottawashooting
More shots fired just off Parliament Hill. Police telling everyone to take cover.	2014-10-22	2014-10-22 14:54:37+00:00	rumour	0	ottawashooting
Police say shots fired at 3 #Ottawa sites -  National War Memorial, Parliament Hill, and now Rideau shopping centre http://t.co/rOnqpUbuqc	2014-10-22	2014-10-22 16:11:09+00:00	rumour	1	ottawashooting
Police now say there were two shooting incidents in Ottawa: one at the war memorial, the other on Parliament Hill. http://t.co/q98AMohu7T	2014-10-22	2014-10-22 18:00:14+00:00	rumour	1	ottawashooting
Snipers set up on National Art Gallery as we remain barricaded in Centre Block on Parliament Hill #cdnpoli. http://t.co/lWKaxLI9jO	2014-10-22	2014-10-22 14:16:31+00:00	rumour	0	ottawashooting
The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog: http://t.co/D58rrFrbwq	2014-10-22	2014-10-22 23:05:35+00:00	rumour	0	ottawashooting
#Ottawa police confirm to #CBCNews they are still seeking 1 or more suspects after shootings on Parliament Hill, War Memorial, nearby mall.	2014-10-22	2014-10-22 16:46:11+00:00	rumour	1	ottawashooting
The soldier shot dead in Wednesday's Ottawa attacks has been named as Cpl. Nathan Cirillo of #HamOnt #ottawashooting http://t.co/MxLMptnlWw	2014-10-22	2014-10-22 20:45:55+00:00	rumour	0	ottawashooting
Witness tells #CBCNews suspected shooter of uniformed soldier at #Ottawa's War Memorial was carrying rifle.	2014-10-22	2014-10-22 14:05:56+00:00	rumour	0	ottawashooting
The gunman in Ottawa has been shot and killed. I'm at a loss for words this morning. That isn't my Canada.	2014-10-22	2014-10-22 14:38:59+00:00	rumour	0	ottawashooting
CTV News confirms that Canadian authorities have provided US authorities with the name Michael Zehaf-Bibeau in connection to Ottawa shooting	2014-10-22	2014-10-22 20:59:39+00:00	rumour	0	ottawashooting
Recap: Gunman shot dead inside Parliament buildings; police believe there may be others on loose. Cdn soldier shot earlier at War Memorial.	2014-10-22	2014-10-22 15:24:32+00:00	rumour	0	ottawashooting
"#RIPNathanCirillo

RT @globeandmail: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/uZZqmlctss"	2014-10-22	2014-10-22 20:36:58+00:00	rumour	0	ottawashooting
Police have clarified that there were two shootings in Ottawa today, not three: at the War Memorial and Parliament Hill.	2014-10-22	2014-10-22 18:26:23+00:00	rumour	1	ottawashooting
Shots fired on parliament hill after a man walked up with a gun. I'm locked in a security office on parliament hill	2014-10-22	2014-10-22 14:01:20+00:00	rumour	0	ottawashooting
FBI assisting in the case of the Ottawa shooting, sources have confirmed to CTV News	2014-10-22	2014-10-22 18:39:46+00:00	rumour	0	ottawashooting
BREAKING NEWS: At least 3 shots fired at Ottawa War Memorial. One soldier confirmed shot - http://t.co/wiPaKVPSDb http://t.co/vwxeqj8xe9	2014-10-22	2014-10-22 14:12:21+00:00	rumour	0	ottawashooting
BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://t.co/pp6hcfWcRw	2014-10-22	2014-10-22 14:07:39+00:00	rumour	0	ottawashooting
Here's that dramatic video via @josh_wingrove of shots fired inside parliament building: https://t.co/1waid25vOE #Ottawa #shooting	2014-10-22	2014-10-22 15:11:33+00:00	rumour	0	ottawashooting
